0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:04:46 -0800] "POST /project_3/ctl/CourseCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:04:46 -0800] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15632
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:04:52 -0800] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 12070
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:04:55 -0800] "GET /project_3/ctl/CourseCtl?id=12 HTTP/1.1" 200 11463
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:05:30 -0800] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 11659
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:05:32 -0800] "POST /project_3/ctl/CourseCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:05:32 -0800] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 15623
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:05:34 -0800] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 12051
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:05:36 -0800] "POST /project_3/ctl/CourseListCtl HTTP/1.1" 200 15623
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:05:39 -0800] "GET /project_3/ctl/SubjectCtl HTTP/1.1" 200 11791
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:11:05 -0800] "POST /project_3/ctl/SubjectCtl HTTP/1.1" 200 12121
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:11:09 -0800] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 11376
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:11:46 -0800] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 11456
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:11:48 -0800] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 11456
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:11:49 -0800] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 11456
0:0:0:0:0:0:0:1 - - [03/Dec/2021:13:11:50 -0800] "POST /project_3/ctl/CourseCtl HTTP/1.1" 200 11456
